building_id,water_usage_liters,waste_produced_kg,recycled_waste_kg,occupancy_level,temperature_c,humidity_%,cloud_cover_%,wind_speed_kmph,dew_point_c,precipitation_mm,beam_irradiance_wm2,diffuse_irradiance_wm2,reflected_irradiance_wm2,is_peak_hour,day_type,solar_generation_kwh,energy_consumption_kwh,total_energy_saved_kwh,building
B3,913.6677511521876,29.45551671316396,10.696019201086145,0.66,6.837478706861649,39.15868611764442,87.92490430777848,12.09225065661964,7.757724012859725,2.768609315465648,202.03035961103512,113.47871609478346,68.3351684626937,0,Weekend,15.78,358.32,13.28,green_smart_campus_dataset
B1,964.2677492031428,9.522297534472456,9.006565314425352,0.31,4.792358456485335,38.8542115342773,16.247915337690344,20.92868578312793,6.8303610522679,4.712183489993227,925.9986271356236,220.6627160193048,97.07828285603182,0,Weekend,57.33,392.04,49.54,green_smart_campus_dataset
B3,829.522709004236,24.978949277619552,13.704484468849955,0.49,3.7066350426375294,77.35231336428753,6.439294646623639,7.950160484860008,1.9100263484438929,6.761496784223647,303.1950364277202,223.14337423542835,71.0349063058686,0,Weekend,26.32,347.81,23.23,green_smart_campus_dataset
B3,452.3255165984102,13.354817854327749,2.714739835904161,0.66,0.4678029795614513,69.74670721599847,26.918644017168724,8.47107378957552,-3.8016156997070665,9.288459758762544,207.97777734337,318.7015676874737,98.63331965268564,1,Weekday,26.33,233.81,19.25,green_smart_campus_dataset
B1,750.5077648692337,23.27175864440401,8.476505584865192,0.7,17.053221987692048,88.712659913241,60.69454128382038,18.79012170807857,22.87367030062881,1.4135724313210396,282.42901751518946,304.1618189502884,49.09557484632622,0,Weekend,29.33,307.2,28.06,green_smart_campus_dataset
B1,550.0824992443136,15.500275107391571,13.312477709166492,0.95,19.21601487813377,69.80590302182729,12.308785340327056,19.624904334805503,1.0627901537826752,3.964681207517336,252.6152108786577,120.44556348123604,90.8082809944624,1,Weekday,18.65,267.84,17.88,green_smart_campus_dataset
B3,403.7364976368409,19.458994077913506,6.740333014384402,0.75,23.22010642652549,49.27788872792336,47.15946722767937,5.741116949753669,18.02420122509999,0.6698959251262993,181.60718555165408,258.2348171953928,28.45758021996741,1,Weekday,21.99,234.17,18.48,green_smart_campus_dataset
B2,872.697263540738,25.81529433315328,7.747928848260139,0.59,22.20853483734672,68.92493626616519,62.73371104253198,24.32178312054764,15.037145745061595,7.585507474717424,818.0553113008367,57.217630260010914,20.611393030971374,1,Weekday,43.76,367.63,38.86,green_smart_campus_dataset
B3,230.74107916986,25.104139124597104,1.986449487337416,0.95,6.693332451335298,89.96213470304815,84.87369925931739,2.112252606120724,17.682116009734518,4.477328896813607,545.9839972696999,189.4915897845167,73.22680458211926,1,Weekend,36.77,173.23,33.02,green_smart_campus_dataset
B3,921.4095937083388,26.660579588492503,4.894010966284752,0.85,8.212440215873862,69.70993177937697,22.98695912022544,1.7125740775532723,22.786884668023585,7.069291351881851,449.6674963408145,317.43683420006204,43.42674977763722,1,Weekend,38.36,403.79,29.04,green_smart_campus_dataset
B3,569.1819716997873,6.490433133616476,5.543093088365263,0.44,22.26058141769352,73.31769491862228,81.73463233827894,14.887605382152568,11.817976607731405,3.221944239762873,955.56513428572,189.82800765050823,38.59188424723915,1,Weekend,57.27,269.52,42.02,green_smart_campus_dataset
B3,709.7611814466243,22.301263825993622,14.231714282428417,0.39,8.977905631345134,85.68555106331816,23.49062611312386,18.068519194290538,21.42826201837156,8.443172414063234,433.9075483583117,342.45868393049847,70.41525201978922,0,Weekend,38.82,321.22,27.41,green_smart_campus_dataset
